id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i13-f13,true,false,true,4200.012528,1606.571034,4197.565000,2590.993966,0.382739,2.487000
i23-f7,true,false,true,4199.844848,1356.341959,4195.174000,2838.832041,0.323310,4.878000
i22-f6,true,false,true,4142.700633,1332.290231,4195.557000,2863.266769,0.317548,4.495000
i21-f5,true,false,true,9.113797,4.998154,305.024797,300.026643,0.016386,4.089000
i17-f1,true,false,true,8.599965,5.198478,305.319965,300.121487,0.017026,3.280000
i20-f4,true,false,true,8.323569,4.430569,304.430569,300.000000,0.014554,3.893000
i4-f4,true,false,true,8.140348,6.987642,307.381348,300.393706,0.022733,0.759000
i18-f2,true,false,true,8.134820,4.658820,304.658820,300.000000,0.015292,3.476000
i19-f3,true,false,true,8.132017,4.455017,304.455017,300.000000,0.014633,3.677000
i16-f0,true,false,true,7.340960,4.259960,304.259960,300.000000,0.014001,3.081000
i11-f11,true,false,true,7.232253,5.127253,305.127253,300.000000,0.016804,2.105000
i15-f15,true,false,true,7.205255,4.323255,304.323255,300.000000,0.014206,2.882000
i14-f14,true,false,true,7.136003,4.443003,304.443003,300.000000,0.014594,2.693000
i12-f12,true,false,true,6.815524,4.515524,304.515524,300.000000,0.014829,2.300000
i10-f10,true,false,true,6.168767,4.256767,304.256767,300.000000,0.013991,1.912000
i8-f8,true,false,true,6.013018,4.463018,304.463018,300.000000,0.014659,1.550000
i9-f9,true,false,true,5.960563,4.231563,304.231563,300.000000,0.013909,1.729000
i1-f1,true,false,true,5.903676,5.608154,305.714676,300.106522,0.018344,0.189000
i7-f7,true,false,true,5.755902,4.389902,304.389902,300.000000,0.014422,1.366000
i5-f5,true,false,true,5.577357,4.598357,304.598357,300.000000,0.015096,0.979000
i6-f6,true,false,true,5.548529,4.383529,304.383529,300.000000,0.014401,1.165000
i0-f0,true,false,true,5.031759,4.840186,305.031759,300.191573,0.015868,0.000000
i2-f2,true,false,true,5.019820,4.658820,304.658820,300.000000,0.015292,0.361000
i3-f3,true,false,true,4.998017,4.455017,304.455017,300.000000,0.014633,0.543000
