id,status,created_time,response_time,hops,responses
0,200,0.000000,4.259960,[i0-f0],[4.25996]
22,200,4.368000,0.224467,[i0-f0],[0.224467]
3,200,0.616000,4.455017,[i3-f3],[4.455017]
2,200,0.416000,4.658820,[i2-f2],[4.65882]
1,200,0.209000,4.895513,[i1-f1],[4.895513]
24,200,4.788000,0.355759,[i0-f0],[0.355759]
4,200,0.796000,4.430569,[i4-f4],[4.430569]
26,200,5.199000,0.177269,[i0-f0],[0.177269]
6,200,1.191000,4.383529,[i6-f6],[4.383529]
27,200,5.394000,0.185178,[i0-f0],[0.185178]
5,200,0.996000,4.598357,[i5-f5],[4.598357]
7,200,1.376000,4.389902,[i7-f7],[4.389902]
9,200,1.753000,4.231563,[i9-f9],[4.231563]
28,200,5.607000,0.399797,[i5-f5],[0.399797]
8,200,1.566000,4.463018,[i8-f8],[4.463018]
29,200,5.806000,0.286018,[i7-f7],[0.286018]
30,200,5.977000,0.203589,[i0-f0],[0.203589]
10,200,1.949000,4.256767,[i10-f10],[4.256767]
31,200,6.184000,0.204841,[i0-f0],[0.204841]
32,200,6.394000,0.307146,[i0-f0],[0.307146]
12,200,2.327000,4.515524,[i12-f12],[4.515524]
33,200,6.580000,0.379041,[i10-f10],[0.379041]
34,200,6.775000,0.204628,[i0-f0],[0.204628]
14,200,2.727000,4.443003,[i14-f14],[4.443003]
35,200,6.985000,0.204935,[i0-f0],[0.204935]
15,200,2.913000,4.323255,[i15-f15],[4.323255]
11,200,2.150000,5.127253,[i11-f11],[5.127253]
36,200,7.170000,0.204900,[i10-f10],[0.2049]
16,200,3.139000,4.259960,[i16-f0],[4.25996]
13,200,2.526000,4.883530,[i13-f13],[4.88353]
37,200,7.356000,0.277200,[i11-f11],[0.2772]
38,200,7.552000,0.283530,[i13-f13],[0.28353]
39,200,7.742000,0.277359,[i11-f11],[0.277359]
19,200,3.736000,4.455017,[i19-f3],[4.455017]
18,200,3.535000,4.658820,[i18-f2],[4.65882]
40,200,7.939000,0.273363,[i13-f13],[0.273363]
17,200,3.345000,4.895513,[i17-f1],[4.895513]
41,200,8.160000,0.201087,[i11-f11],[0.201087]
20,200,3.933000,4.430569,[i20-f4],[4.430569]
21,200,4.150000,4.598357,[i21-f5],[4.598357]
43,200,8.595000,0.178183,[i11-f11],[0.178183]
42,200,8.380000,0.406887,[i20-f4],[0.406887]
44,200,8.778000,0.162151,[i11-f11],[0.162151]
23,200,4.588000,4.383529,[i22-f6],[4.383529]
25,200,4.981000,4.389902,[i23-f7],[4.389902]
45,200,8.975000,0.408598,[i22-f6],[0.408598]
46,200,9.184000,0.232699,[i11-f11],[0.232699]
47,200,9.366000,0.205070,[i20-f4],[0.20507]
48,200,9.554000,0.204674,[i11-f11],[0.204674]
49,200,9.740000,0.168945,[i20-f4],[0.168945]
50,200,9.922000,0.180150,[i20-f4],[0.18015]
51,200,10.095000,0.204732,[i11-f11],[0.204732]
52,200,10.294000,0.163389,[i20-f4],[0.163389]
