id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i34-f2,true,false,true,4200.020699,1380.878902,4199.393000,2818.514098,0.328828,0.626000
i33-f1,true,false,true,4199.991850,1384.143595,4199.419000,2815.275405,0.329604,0.600000
i36-f4,true,false,true,4198.058668,1255.966080,3859.835000,2603.868920,0.325394,340.184000
i26-f26,true,false,true,340.188609,97.890732,639.706609,541.815877,0.153024,0.482000
i29-f29,true,false,true,1.401167,0.857196,300.868167,300.010971,0.002849,0.533000
i30-f30,true,false,true,1.390921,0.833317,300.841921,300.008604,0.002770,0.549000
i22-f22,true,false,true,1.343033,0.879834,300.936033,300.056199,0.002924,0.407000
i35-f3,true,false,true,1.280872,0.639872,300.639872,300.000000,0.002128,0.641000
i32-f0,true,false,true,1.251842,0.671789,300.673842,300.002053,0.002234,0.578000
i28-f28,true,false,true,1.250449,0.733477,300.734449,300.000972,0.002439,0.516000
i27-f27,true,false,true,1.245488,0.669348,300.744488,300.075140,0.002226,0.501000
i31-f31,true,false,true,1.244255,0.681255,300.681255,300.000000,0.002266,0.563000
i16-f16,true,false,true,1.212232,0.875958,300.917232,300.041274,0.002911,0.295000
i23-f23,true,false,true,1.198277,0.780277,300.780277,300.000000,0.002594,0.418000
i25-f25,true,false,true,1.122401,0.662401,300.662401,300.000000,0.002203,0.460000
i17-f17,true,false,true,1.107810,0.775780,300.795810,300.020030,0.002579,0.312000
i5-f5,true,false,true,1.101885,0.925252,301.011885,300.086633,0.003074,0.090000
i20-f20,true,false,true,1.098446,0.719687,300.731446,300.011759,0.002393,0.367000
i0-f0,true,false,true,1.069198,0.885418,301.069198,300.183780,0.002941,0.000000
i1-f1,true,false,true,1.057846,1.035465,301.040846,300.005381,0.003440,0.017000
i21-f21,true,false,true,1.046568,0.659568,300.659568,300.000000,0.002194,0.387000
i24-f24,true,false,true,1.039335,0.599335,300.599335,300.000000,0.001994,0.440000
i15-f15,true,false,true,1.038176,0.756118,300.767176,300.011058,0.002514,0.271000
i10-f10,true,false,true,0.978901,0.757639,300.796901,300.039262,0.002519,0.182000
i6-f6,true,false,true,0.956272,0.829100,300.848272,300.019172,0.002756,0.108000
i19-f19,true,false,true,0.955992,0.604992,300.604992,300.000000,0.002013,0.351000
i13-f13,true,false,true,0.955751,0.717751,300.717751,300.000000,0.002387,0.238000
i3-f3,true,false,true,0.923587,0.849103,300.868587,300.019484,0.002822,0.055000
i18-f18,true,false,true,0.921989,0.590989,300.590989,300.000000,0.001966,0.331000
i14-f14,true,false,true,0.891255,0.639255,300.639255,300.000000,0.002126,0.252000
i12-f12,true,false,true,0.870513,0.658513,300.658513,300.000000,0.002190,0.212000
i9-f9,true,false,true,0.869228,0.689541,300.702228,300.012687,0.002293,0.167000
i2-f2,true,false,true,0.849493,0.810267,300.813493,300.003226,0.002694,0.036000
i11-f11,true,false,true,0.834156,0.639156,300.639156,300.000000,0.002126,0.195000
i7-f7,true,false,true,0.826833,0.697833,300.697833,300.000000,0.002321,0.129000
i8-f8,true,false,true,0.823797,0.677797,300.677797,300.000000,0.002254,0.146000
i4-f4,true,false,true,0.673562,0.599562,300.599562,300.000000,0.001995,0.074000
