id,status,created_time,response_time,hops,responses
4,200,0.043000,0.599562,[i4-f4],[0.599562]
0,200,0.000000,0.643947,[i0-f0],[0.643947]
5,200,0.048000,0.600140,[i5-f5],[0.60014]
6,200,0.057000,0.595569,[i6-f6],[0.595569]
2,200,0.025000,0.639774,[i2-f2],[0.639774]
10,200,0.107000,0.563738,[i10-f10],[0.563738]
9,200,0.092000,0.581313,[i9-f9],[0.581313]
61,200,0.647000,0.027842,[i0-f0],[0.027842]
3,200,0.035000,0.639872,[i3-f3],[0.639872]
15,200,0.155000,0.581942,[i15-f15],[0.581942]
11,200,0.114000,0.639156,[i11-f11],[0.639156]
8,200,0.080000,0.677797,[i8-f8],[0.677797]
7,200,0.069000,0.697833,[i7-f7],[0.697833]
12,200,0.123000,0.658513,[i12-f12],[0.658513]
14,200,0.146000,0.639255,[i14-f14],[0.639255]
65,200,0.678000,0.108558,[i3-f3],[0.108558]
67,200,0.698000,0.108228,[i9-f9],[0.108228]
16,200,0.166000,0.643947,[i16-f0],[0.643947]
20,200,0.215000,0.599562,[i20-f4],[0.599562]
21,200,0.224000,0.600140,[i21-f5],[0.60014]
1,200,0.011000,0.822769,[i1-f1],[0.822769]
22,200,0.239000,0.595569,[i22-f6],[0.595569]
18,200,0.195000,0.639774,[i18-f2],[0.639774]
80,200,0.813000,0.027842,[i16-f0],[0.027842]
19,200,0.207000,0.639872,[i19-f3],[0.639872]
13,200,0.133000,0.717751,[i13-f13],[0.717751]
26,200,0.288000,0.563738,[i26-f10],[0.563738]
25,200,0.273000,0.581313,[i25-f9],[0.581313]
62,200,0.657000,0.206259,[i6-f6],[0.206259]
64,200,0.672000,0.193901,[i10-f10],[0.193901]
66,200,0.690000,0.182431,[i0-f0],[0.182431]
77,200,0.789000,0.084086,[i3-f3],[0.084086]
68,200,0.704000,0.170493,[i2-f2],[0.170493]
63,200,0.664000,0.219662,[i5-f5],[0.219662]
74,200,0.755000,0.134789,[i11-f11],[0.134789]
87,200,0.882000,0.016587,[i3-f3],[0.016587]
86,200,0.878000,0.023055,[i2-f2],[0.023055]
76,200,0.775000,0.131662,[i7-f7],[0.131662]
72,200,0.738000,0.174176,[i15-f15],[0.174176]
31,200,0.337000,0.581942,[i31-f15],[0.581942]
79,200,0.806000,0.115771,[i12-f12],[0.115771]
89,200,0.905000,0.020336,[i2-f2],[0.020336]
78,200,0.799000,0.129632,[i14-f14],[0.129632]
27,200,0.297000,0.639156,[i27-f11],[0.639156]
24,200,0.261000,0.677797,[i24-f8],[0.677797]
23,200,0.251000,0.697833,[i23-f7],[0.697833]
69,200,0.714000,0.240207,[i4-f4],[0.240207]
30,200,0.323000,0.639255,[i30-f14],[0.639255]
84,200,0.857000,0.108228,[i25-f9],[0.108228]
28,200,0.307000,0.658513,[i28-f12],[0.658513]
93,200,0.956000,0.014815,[i4-f4],[0.014815]
95,200,0.973000,0.010636,[i4-f4],[0.010636]
36,200,0.386000,0.599562,[i36-f4],[0.599562]
32,200,0.342000,0.643947,[i32-f0],[0.643947]
37,200,0.391000,0.600140,[i37-f5],[0.60014]
38,200,0.402000,0.595569,[i38-f6],[0.595569]
42,200,0.437000,0.563738,[i42-f10],[0.563738]
34,200,0.362000,0.639774,[i34-f2],[0.639774]
17,200,0.180000,0.822769,[i17-f1],[0.822769]
41,200,0.430000,0.581313,[i41-f9],[0.581313]
35,200,0.372000,0.639872,[i35-f3],[0.639872]
88,200,0.896000,0.118930,[i11-f11],[0.11893]
91,200,0.929000,0.091252,[i14-f14],[0.091252]
75,200,0.765000,0.259998,[i8-f8],[0.259998]
83,200,0.846000,0.182431,[i16-f0],[0.182431]
29,200,0.315000,0.717751,[i29-f13],[0.717751]
99,200,1.019000,0.019242,[i11-f11],[0.019242]
98,200,1.010000,0.032850,[i17-f1],[0.03285]
100,200,1.028000,0.022924,[i8-f8],[0.022924]
82,200,0.833000,0.219662,[i21-f5],[0.219662]
85,200,0.863000,0.193901,[i26-f10],[0.193901]
81,200,0.823000,0.240207,[i20-f4],[0.240207]
47,200,0.488000,0.581942,[i47-f15],[0.581942]
104,200,1.066000,0.014815,[i20-f4],[0.014815]
103,200,1.055000,0.027135,[i21-f5],[0.027135]
43,200,0.448000,0.639156,[i43-f11],[0.639156]
105,200,1.081000,0.010636,[i20-f4],[0.010636]
90,200,0.919000,0.174176,[i31-f15],[0.174176]
94,200,0.965000,0.129632,[i30-f14],[0.129632]
96,200,0.980000,0.115771,[i28-f12],[0.115771]
40,200,0.423000,0.677797,[i40-f8],[0.677797]
39,200,0.411000,0.697833,[i39-f7],[0.697833]
46,200,0.477000,0.639255,[i46-f14],[0.639255]
44,200,0.458000,0.658513,[i44-f12],[0.658513]
52,200,0.538000,0.599562,[i52-f4],[0.599562]
48,200,0.495000,0.643947,[i48-f0],[0.643947]
50,200,0.514000,0.639774,[i50-f2],[0.639774]
53,200,0.554000,0.600140,[i53-f5],[0.60014]
54,200,0.565000,0.595569,[i54-f6],[0.595569]
51,200,0.523000,0.639872,[i51-f3],[0.639872]
111,200,1.141000,0.027842,[i48-f0],[0.027842]
58,200,0.609000,0.563738,[i58-f10],[0.563738]
101,200,1.038000,0.137677,[i29-f13],[0.137677]
33,200,0.354000,0.822769,[i33-f1],[0.822769]
57,200,0.599000,0.581313,[i57-f9],[0.581313]
45,200,0.464000,0.717751,[i45-f13],[0.717751]
92,200,0.944000,0.259998,[i24-f8],[0.259998]
97,200,0.993000,0.219662,[i37-f5],[0.219662]
106,200,1.089000,0.134789,[i43-f11],[0.134789]
102,200,1.048000,0.179846,[i17-f1],[0.179846]
117,200,1.212000,0.022924,[i24-f8],[0.022924]
109,200,1.123000,0.115771,[i44-f12],[0.115771]
108,200,1.115000,0.131662,[i39-f7],[0.131662]
118,200,1.223000,0.027135,[i37-f5],[0.027135]
119,200,1.232000,0.024561,[i17-f1],[0.024561]
