id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i30-f14,true,false,true,420.010748,144.269557,419.436000,275.166443,0.343961,0.572000
i34-f2,true,false,true,419.943686,137.298996,419.335000,282.036004,0.327421,0.673000
i33-f1,true,false,true,418.137509,129.335205,419.376000,290.040795,0.308399,0.632000
i31-f15,true,false,true,1.453168,0.830338,300.863168,300.032830,0.002760,0.590000
i28-f12,true,false,true,1.422434,0.845059,300.889434,300.044375,0.002809,0.533000
i27-f11,true,false,true,1.416930,0.892875,300.904930,300.012055,0.002967,0.512000
i29-f13,true,false,true,1.415677,0.855428,300.860677,300.005249,0.002843,0.555000
i24-f8,true,false,true,1.399998,0.937795,300.939998,300.002203,0.003116,0.460000
i32-f0,true,false,true,1.285842,0.671789,300.677842,300.006053,0.002234,0.608000
i22-f6,true,false,true,1.270272,0.829100,300.842272,300.013172,0.002756,0.428000
i20-f4,true,false,true,1.231207,0.839769,300.842207,300.002438,0.002791,0.389000
i17-f1,true,false,true,1.154769,0.822769,300.822769,300.000000,0.002735,0.332000
i23-f7,true,false,true,1.142833,0.697833,300.697833,300.000000,0.002321,0.445000
i12-f12,true,false,true,1.140709,0.863768,300.900709,300.036941,0.002871,0.240000
i11-f11,true,false,true,1.123930,0.892875,300.897930,300.005055,0.002967,0.226000
i9-f9,true,false,true,1.110704,0.875188,300.921704,300.046516,0.002908,0.189000
i15-f15,true,false,true,1.060176,0.756118,300.766176,300.010058,0.002514,0.294000
i26-f10,true,false,true,1.055738,0.563738,300.563738,300.000000,0.001876,0.492000
i25-f9,true,false,true,1.053313,0.581313,300.581313,300.000000,0.001934,0.472000
i0-f0,true,false,true,1.018431,0.854220,301.018431,300.164211,0.002838,0.000000
i21-f5,true,false,true,1.013140,0.600140,300.600140,300.000000,0.001996,0.413000
i19-f3,true,false,true,1.010872,0.639872,300.639872,300.000000,0.002128,0.371000
i18-f2,true,false,true,0.987774,0.639774,300.639774,300.000000,0.002128,0.348000
i10-f10,true,false,true,0.982901,0.757639,300.772901,300.015262,0.002519,0.210000
i3-f3,true,false,true,0.982086,0.832516,300.912086,300.079570,0.002767,0.070000
i7-f7,true,false,true,0.980662,0.829495,300.832662,300.003167,0.002757,0.148000
i4-f4,true,false,true,0.979636,0.865220,300.888636,300.023416,0.002876,0.091000
i13-f13,true,false,true,0.972751,0.717751,300.717751,300.000000,0.002387,0.255000
i16-f0,true,false,true,0.954947,0.643947,300.643947,300.000000,0.002142,0.311000
i5-f5,true,false,true,0.937662,0.819802,300.827662,300.007860,0.002725,0.110000
i2-f2,true,false,true,0.934493,0.810267,300.886493,300.076226,0.002693,0.048000
i6-f6,true,false,true,0.933259,0.801828,300.804259,300.002431,0.002666,0.129000
i14-f14,true,false,true,0.918255,0.639255,300.639255,300.000000,0.002126,0.279000
i8-f8,true,false,true,0.845797,0.677797,300.677797,300.000000,0.002254,0.168000
i1-f1,true,false,true,0.838769,0.822769,300.822769,300.000000,0.002735,0.016000
