id,status,created_time,response_time,hops,responses
0,200,0.000000,4.259960,[i0-f0],[4.25996]
43,200,4.318000,0.224467,[i0-f0],[0.224467]
3,200,0.302000,4.455017,[i3-f3],[4.455017]
4,200,0.407000,4.430569,[i4-f4],[4.430569]
2,200,0.214000,4.658820,[i2-f2],[4.65882]
46,200,4.608000,0.355759,[i0-f0],[0.355759]
6,200,0.621000,4.383529,[i6-f6],[4.383529]
1,200,0.118000,4.895513,[i1-f1],[4.895513]
48,200,4.808000,0.263760,[i3-f3],[0.26376]
7,200,0.726000,4.389902,[i7-f7],[4.389902]
5,200,0.527000,4.598357,[i5-f5],[4.598357]
9,200,0.915000,4.231563,[i9-f9],[4.231563]
49,200,4.922000,0.318067,[i2-f2],[0.318067]
8,200,0.824000,4.463018,[i8-f8],[4.463018]
10,200,1.031000,4.256767,[i10-f10],[4.256767]
50,200,5.028000,0.302965,[i1-f1],[0.302965]
52,200,5.247000,0.223568,[i2-f2],[0.223568]
51,200,5.131000,0.399797,[i5-f5],[0.399797]
55,200,5.527000,0.204524,[i2-f2],[0.204524]
53,200,5.337000,0.409676,[i1-f1],[0.409676]
12,200,1.233000,4.515524,[i12-f12],[4.515524]
54,200,5.434000,0.379041,[i10-f10],[0.379041]
56,200,5.617000,0.213228,[i5-f5],[0.213228]
15,200,1.545000,4.323255,[i15-f15],[4.323255]
14,200,1.441000,4.443003,[i14-f14],[4.443003]
16,200,1.632000,4.259960,[i16-f0],[4.25996]
58,200,5.822000,0.204900,[i10-f10],[0.2049]
59,200,5.917000,0.224467,[i16-f0],[0.224467]
57,200,5.726000,0.437682,[i8-f8],[0.437682]
13,200,1.344000,4.883530,[i13-f13],[4.88353]
11,200,1.129000,5.127253,[i11-f11],[5.127253]
60,200,6.012000,0.288378,[i14-f14],[0.288378]
61,200,6.096000,0.204540,[i10-f10],[0.20454]
19,200,1.937000,4.455017,[i19-f3],[4.455017]
62,200,6.193000,0.205022,[i8-f8],[0.205022]
20,200,2.031000,4.430569,[i20-f4],[4.430569]
18,200,1.833000,4.658820,[i18-f2],[4.65882]
63,200,6.290000,0.277200,[i11-f11],[0.2772]
22,200,2.223000,4.383529,[i22-f6],[4.383529]
17,200,1.735000,4.895513,[i17-f1],[4.895513]
64,200,6.393000,0.263760,[i19-f3],[0.26376]
23,200,2.320000,4.389902,[i23-f7],[4.389902]
21,200,2.124000,4.598357,[i21-f5],[4.598357]
25,200,2.511000,4.231563,[i25-f9],[4.231563]
26,200,2.604000,4.256767,[i26-f10],[4.256767]
66,200,6.592000,0.277359,[i11-f11],[0.277359]
24,200,2.409000,4.463018,[i24-f8],[4.463018]
65,200,6.484000,0.406887,[i20-f4],[0.406887]
67,200,6.695000,0.332982,[i19-f3],[0.332982]
68,200,6.812000,0.271891,[i25-f9],[0.271891]
69,200,6.915000,0.205070,[i20-f4],[0.20507]
28,200,2.807000,4.515524,[i28-f12],[4.515524]
72,200,7.225000,0.168945,[i20-f4],[0.168945]
71,200,7.119000,0.283645,[i25-f9],[0.283645]
31,200,3.104000,4.323255,[i31-f15],[4.323255]
30,200,3.013000,4.443003,[i30-f14],[4.443003]
32,200,3.197000,4.259960,[i32-f0],[4.25996]
70,200,7.027000,0.437682,[i24-f8],[0.437682]
73,200,7.315000,0.166144,[i19-f3],[0.166144]
74,200,7.405000,0.179044,[i25-f9],[0.179044]
75,200,7.512000,0.162717,[i19-f3],[0.162717]
29,200,2.908000,4.883530,[i29-f13],[4.88353]
76,200,7.619000,0.186216,[i25-f9],[0.186216]
27,200,2.711000,5.127253,[i27-f11],[5.127253]
77,200,7.725000,0.163011,[i19-f3],[0.163011]
35,200,3.491000,4.455017,[i35-f3],[4.455017]
36,200,3.598000,4.430569,[i36-f4],[4.430569]
78,200,7.825000,0.204965,[i25-f9],[0.204965]
34,200,3.379000,4.658820,[i34-f2],[4.65882]
79,200,7.922000,0.223459,[i19-f3],[0.223459]
33,200,3.280000,4.895513,[i33-f1],[4.895513]
38,200,3.810000,4.383529,[i38-f6],[4.383529]
80,200,8.011000,0.263760,[i35-f3],[0.26376]
39,200,3.902000,4.389902,[i39-f7],[4.389902]
37,200,3.709000,4.598357,[i37-f5],[4.598357]
41,200,4.114000,4.231563,[i41-f9],[4.231563]
81,200,8.119000,0.318067,[i34-f2],[0.318067]
42,200,4.218000,4.256767,[i42-f10],[4.256767]
40,200,4.020000,4.463018,[i40-f8],[4.463018]
82,200,8.208000,0.408598,[i38-f6],[0.408598]
84,200,8.418000,0.271891,[i41-f9],[0.271891]
83,200,8.310000,0.399797,[i37-f5],[0.399797]
87,200,8.686000,0.204735,[i38-f6],[0.204735]
85,200,8.509000,0.437682,[i40-f8],[0.437682]
86,200,8.606000,0.379041,[i42-f10],[0.379041]
88,200,8.785000,0.213228,[i37-f5],[0.213228]
45,200,4.516000,4.515524,[i44-f12],[4.515524]
89,200,8.871000,0.283645,[i41-f9],[0.283645]
90,200,8.969000,0.205022,[i40-f8],[0.205022]
