id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i22-f6,true,false,true,4200.021384,1453.385948,4195.432000,2742.046052,0.346421,4.588000
i20-f4,true,false,true,4199.607473,1310.626594,4196.087000,2885.460406,0.312345,3.933000
i11-f11,true,false,true,4199.417713,1544.107077,4197.870000,2653.762923,0.367831,2.150000
i23-f7,true,false,true,9.370902,4.389902,304.389902,300.000000,0.014422,4.981000
i21-f5,true,false,true,8.748357,4.598357,304.598357,300.000000,0.015096,4.150000
i17-f1,true,false,true,8.240513,4.895513,304.895513,300.000000,0.016056,3.345000
i13-f13,true,false,true,8.212363,5.440423,305.686363,300.245940,0.017797,2.526000
i18-f2,true,false,true,8.193820,4.658820,304.658820,300.000000,0.015292,3.535000
i19-f3,true,false,true,8.191017,4.455017,304.455017,300.000000,0.014633,3.736000
i16-f0,true,false,true,7.398960,4.259960,304.259960,300.000000,0.014001,3.139000
i10-f10,true,false,true,7.374900,4.840708,305.425900,300.585192,0.015849,1.949000
i15-f15,true,false,true,7.236255,4.323255,304.323255,300.000000,0.014206,2.913000
i0-f0,true,false,true,7.189935,6.327772,307.189935,300.862163,0.020599,0.000000
i14-f14,true,false,true,7.170003,4.443003,304.443003,300.000000,0.014594,2.727000
i12-f12,true,false,true,6.842524,4.515524,304.515524,300.000000,0.014829,2.327000
i7-f7,true,false,true,6.092018,4.675920,304.716018,300.040098,0.015345,1.376000
i8-f8,true,false,true,6.029018,4.463018,304.463018,300.000000,0.014659,1.566000
i5-f5,true,false,true,6.006797,4.998154,305.010797,300.012643,0.016387,0.996000
i9-f9,true,false,true,5.984563,4.231563,304.231563,300.000000,0.013909,1.753000
i6-f6,true,false,true,5.574529,4.383529,304.383529,300.000000,0.014401,1.191000
i4-f4,true,false,true,5.226569,4.430569,304.430569,300.000000,0.014554,0.796000
i1-f1,true,false,true,5.104513,4.895513,304.895513,300.000000,0.016056,0.209000
i2-f2,true,false,true,5.074820,4.658820,304.658820,300.000000,0.015292,0.416000
i3-f3,true,false,true,5.071017,4.455017,304.455017,300.000000,0.014633,0.616000
